epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.90234375,,,
0,99,,,,0.90234375,,,
0,149,,,,0.9296875,,,
0,187,,,,,,0.9084166884422302,0.31587839126586914
0,187,,,0.8820416927337646,,0.430666983127594,,
1,199,,,,0.88671875,,,
1,249,,,,0.90234375,,,
1,299,,,,0.9296875,,,
1,349,,,,0.9296875,,,
1,375,,,,,,0.9148333072662354,0.31119686365127563
1,375,,,0.9135416746139526,,0.3029322922229767,,
2,399,,,,0.92578125,,,
2,449,,,,0.94921875,,,
2,499,,,,0.9453125,,,
2,549,,,,0.921875,,,
2,563,,,,,,0.8963333368301392,0.3652302920818329
2,563,,,0.9183124899864197,,0.28988227248191833,,
3,599,,,,0.91015625,,,
3,649,,,,0.93359375,,,
3,699,,,,0.91015625,,,
3,749,,,,0.875,,,
3,751,,,,,,0.9026666879653931,0.3425878882408142
3,751,,,0.9193958044052124,,0.2830425500869751,,
4,799,,,,0.90625,,,
4,849,,,,0.92578125,,,
4,899,,,,0.91796875,,,
4,939,,,,,,0.9132500290870667,0.31392383575439453
4,939,,,0.9220208525657654,,0.27484673261642456,,
5,949,,,,0.921875,,,
5,999,,,,0.921875,,,
5,1049,,,,0.93359375,,,
5,1099,,,,0.91015625,,,
5,1127,,,,,,0.9151666760444641,0.31483617424964905
5,1127,,,0.921750009059906,,0.27402159571647644,,
6,1149,,,,0.8984375,,,
6,1199,,,,0.94140625,,,
6,1249,,,,0.92578125,,,
6,1299,,,,0.9140625,,,
6,1315,,,,,,0.9199166893959045,0.2934599220752716
6,1315,,,0.9263333082199097,,0.267516165971756,,
7,1349,,,,0.94140625,,,
7,1399,,,,0.9375,,,
7,1449,,,,0.91796875,,,
7,1499,,,,0.95703125,,,
7,1503,,,,,,0.8951666951179504,0.38152918219566345
7,1503,,,0.9248124957084656,,0.2665000557899475,,
8,1549,,,,0.94140625,,,
8,1599,,,,0.90234375,,,
8,1649,,,,0.90625,,,
8,1691,,,,,,0.9203333258628845,0.2998240292072296
8,1691,,,0.9259374737739563,,0.26418548822402954,,
9,1699,,,,0.93359375,,,
9,1749,,,,0.94140625,,,
9,1799,,,,0.9296875,,,
9,1849,,,,0.921875,,,
9,1879,,,,,,0.9117500185966492,0.3215411305427551
9,1879,,,0.926604151725769,,0.26251062750816345,,
10,1899,,,,0.93359375,,,
10,1949,,,,0.95703125,,,
10,1999,,,,0.88671875,,,
10,2049,,,,0.9140625,,,
10,2067,,,,,,0.9181666374206543,0.3146516680717468
10,2067,,,0.9268958568572998,,0.26115259528160095,,
11,2099,,,,0.9453125,,,
11,2149,,,,0.87890625,,,
11,2199,,,,0.91796875,,,
11,2249,,,,0.9375,,,
11,2255,,,,,,0.9066666960716248,0.3331077992916107
11,2255,,,0.9268541932106018,,0.2590518593788147,,
12,2299,,,,0.94921875,,,
12,2349,,,,0.9375,,,
12,2399,,,,0.96875,,,
12,2443,,,,,,0.918749988079071,0.30461135506629944
12,2443,,,0.9268125295639038,,0.2584024965763092,,
13,2449,,,,0.93359375,,,
13,2499,,,,0.921875,,,
13,2549,,,,0.92578125,,,
13,2599,,,,0.92578125,,,
13,2631,,,,,,0.9179999828338623,0.30647164583206177
13,2631,,,0.9284166693687439,,0.2573435306549072,,
14,2649,,,,0.9296875,,,
14,2699,,,,0.921875,,,
14,2749,,,,0.92578125,,,
14,2799,,,,0.9296875,,,
14,2819,,,,,,0.9131666421890259,0.3284039795398712
14,2819,,,0.9273958206176758,,0.2564436197280884,,
15,2849,,,,0.93359375,,,
15,2899,,,,0.94921875,,,
15,2949,,,,0.9375,,,
15,2999,,,,0.92578125,,,
15,3007,,,,,,0.9039166569709778,0.35556283593177795
15,3007,,,0.9283750057220459,,0.25305071473121643,,
16,3049,,,,0.8984375,,,
16,3099,,,,0.9453125,,,
16,3149,,,,0.9296875,,,
16,3195,,,,,,0.9205833077430725,0.3036559522151947
16,3195,,,0.9292708039283752,,0.25337982177734375,,
17,3199,,,,0.92578125,,,
17,3249,,,,0.9140625,,,
17,3299,,,,0.90625,,,
17,3349,,,,0.94140625,,,
17,3383,,,,,,0.9179166555404663,0.31324222683906555
17,3383,,,0.9290208220481873,,0.2536333501338959,,
18,3399,,,,0.953125,,,
18,3449,,,,0.93359375,,,
18,3499,,,,0.94921875,,,
18,3549,,,,0.91015625,,,
18,3571,,,,,,0.9122499823570251,0.32761630415916443
18,3571,,,0.9288750290870667,,0.2514928877353668,,
19,3599,,,,0.94140625,,,
19,3649,,,,0.91015625,,,
19,3699,,,,0.92578125,,,
19,3749,,,,0.94140625,,,
19,3759,,,,,,0.8963333368301392,0.3773222267627716
19,3759,,,0.92947918176651,,0.2510129511356354,,
20,3799,,,,0.89453125,,,
20,3849,,,,0.921875,,,
20,3899,,,,0.94140625,,,
20,3947,,,,,,0.9047499895095825,0.35124266147613525
20,3947,,,0.9281874895095825,,0.24964644014835358,,
21,3949,,,,0.9296875,,,
21,3999,,,,0.9375,,,
21,4049,,,,0.95703125,,,
21,4099,,,,0.9140625,,,
21,4135,,,,,,0.9127500057220459,0.33199429512023926
21,4135,,,0.9303749799728394,,0.24811771512031555,,
22,4149,,,,0.9453125,,,
22,4199,,,,0.94921875,,,
22,4249,,,,0.9453125,,,
22,4299,,,,0.91015625,,,
22,4323,,,,,,0.9149166941642761,0.3298860490322113
22,4323,,,0.9310416579246521,,0.2485181838274002,,
23,4349,,,,0.95703125,,,
23,4399,,,,0.9375,,,
23,4449,,,,0.953125,,,
23,4499,,,,0.8984375,,,
23,4511,,,,,,0.9020833373069763,0.36917829513549805
23,4511,,,0.9310833215713501,,0.24588431417942047,,
24,4549,,,,0.96875,,,
24,4599,,,,0.94921875,,,
24,4649,,,,0.9296875,,,
24,4699,,,,0.90625,,,
24,4699,,,,,,0.9070833325386047,0.3456200659275055
24,4699,,,0.929312527179718,,0.24965716898441315,,
25,4749,,,,0.9296875,,,
25,4799,,,,0.9609375,,,
25,4849,,,,0.94140625,,,
25,4887,,,,,,0.9010833501815796,0.3613458275794983
25,4887,,,0.9319166541099548,,0.24524450302124023,,
26,4899,,,,0.90234375,,,
26,4949,,,,0.94921875,,,
26,4999,,,,0.9140625,,,
26,5049,,,,0.94921875,,,
26,5075,,,,,,0.9139999747276306,0.33157578110694885
26,5075,,,0.9303333163261414,,0.24675200879573822,,
27,5099,,,,0.9296875,,,
27,5149,,,,0.921875,,,
27,5199,,,,0.91796875,,,
27,5249,,,,0.921875,,,
27,5263,,,,,,0.9083333611488342,0.34447363018989563
27,5263,,,0.9304999709129333,,0.24506984651088715,,
28,5299,,,,0.94921875,,,
28,5349,,,,0.9296875,,,
28,5399,,,,0.953125,,,
28,5449,,,,0.921875,,,
28,5451,,,,,,0.9148333072662354,0.33906814455986023
28,5451,,,0.9302083253860474,,0.24533197283744812,,
29,5499,,,,0.94921875,,,
29,5549,,,,0.91796875,,,
29,5599,,,,0.921875,,,
29,5639,,,,,,0.9210000038146973,0.31416061520576477
29,5639,,,0.9312083125114441,,0.24490049481391907,,
30,5640,0.9240999817848206,0.3186826705932617,,,,,
